Attributes LANDYADDRESSPOINT,LANDXADDRESSPOINT,postal_code,ADDRESSBUILDINGNAME,website,PHOTOURL,ADDRESSUNITNUMBER,ADDRESSFLOORNUMBER,street_address,block_no,details,INC_CRC,last_updated,gym_name,full_address,longitude,latitude
0,0,,,,,1,8,Raffles Quay,1,"Facilities: Group Exercise studios Kinesis studio, free-weight and strength equipment, cardio equipment Operating Hours: Monday ? Friday : 6.00am ? 10.00pm Saturday : 8.00am ? 5.00pm Sunday and Public Holidays : 10.00am ? 5.00pm Tel: 6327 5550",D1821E116B43B866,2016-01-27 09:58:40,Fitness First - One Raffles Quay,1 Raffles Quay,103.851677105821,1.28089478900143
0,0,238859,,,,13,8,,41282,"Facilities: Cardio equipment, weight machines, free weights, Group Exercise studio , cycling studio, Mind & Body studio Operating Hours: Monday ? Saturday : 6.30am ? 10.30pm Sunday and Public Holidays : 8.00am ? 10.00pm Tel: 6737 7889",8DB4EB06CC571742,2016-01-27 09:58:40,Fitness First - Paragon,41282,103.835240311923,1.30372322367268
0,0,237994,Great World City Mall,,,14,3,Kim Seng Promenade,1,Operating Hours: Mon ? Fri: 6am ? 10pm Sat ? Sun: 7am ? 9pm Public Holiday: 8am ? 8pm Tel: 6235 9622,4E6DAE68287521DF,2017-09-21 14:48:15,True Fitness - Great World City,1 Kim Seng Promenade,103.831757911005,1.29380236091495
0,0,188024,,,,,4,Victoria Street,230,Facilities: - Group X Studio - Indoor Cycling Studio - Cardio Machines - Resistance Machines - Free Weights - Xpress Zone - Kick Fit Area - Steam & Sauna Operating Hours: Monday to Saturday: 6:00 am - 12:00 midnight Sunday and Public Holidays*: 8:00 am - 10:00 pm. Tel: 6337 257,DF55DA5797DF3D77,2017-09-21 14:48:15,California Fitness - Bugis,230 Victoria Street,103.855786976518,1.30014248326867
0,0,569933,,,,36,B1,Ang Mo Kio Ave 3,53,"Facilities: Mind and Body studio, Group Exercise studio, cardio equipment (including treadmills, bikes, steppers and the revolutionary Technogym CardioWave?), weight machines and free weights. Operating Hours: Monday ? Friday : 6.00am ? 10.00pm Saturday, Sunday and Public Holi",48276C872F56DADC,2017-09-21 14:48:15,Fitness First - AMK Hub,53 Ang Mo Kio Ave 3,103.848399235571,1.36924890739398
0,0,307683,,,,,,Velocity @ Novena,3,Facilities: - Group X Studio - Indoor Cycling Studio - Cardio Machines - Resistance Machines - Free Weights - Xpress Zone - Kick Fit Area - Steam & Sauna - Internet Kiosks Operating Hours: Monday to Friday: 6:00 am - 12:00 midnight Saturday: 6:00 am to 10:00 pm Sunday and Publ,2CB5FB93CDC8D55D,2017-09-21 14:48:15,California Fitness - Velocity@Novena Square,3 Velocity @ Novena,103.843656771807,1.32021101601674
0,0,117439,,,,29,7,Pasir Panjang Road,20,"Facilities: 44m heated pool, Group Exercise studio, outdoor TRX? Suspension Training? area, boxing area, cardiovascular equipment (treadmills, rowers etc), a free weights area, resistance machines and a functional training area. Operating Hours: Monday ? Friday : 6.30am ? 10.00p",F4EFE161320877D9,2017-09-21 14:48:15,Fitness First - Alexandra (Mapletree Business City),20 Pasir Panjang Road,103.799064826968,1.274827493389
0,0,188306,,,,11,3,Selegie Road,1,Operating Hours: Monday-Friday: 6:30am to 10:30pm Saturday-Sunday: 9:00am to 7:00pm Tel: 63370082/ 63370037,FE55DC370B8A0B59,2017-09-21 14:48:15,Evolve MMA - POMO Mall,1 Selegie Road,103.849264282609,1.3001084594134
0,0,,,,,1,9,,,"Facilities: Heated swimming pool, group exercise studio, cycling studio, cardiovascular and resistance strength training equipment Operating Hours: Monday ? Friday : 6.00am ? 10.00pm Saturday : 7.00am ? 7.00pm Sunday and Public Holidays : Closed Tel: 6536 5595",9E298D73F4034553,2017-09-21 14:48:15,Fitness First - Captial Tower,,103.847522674168,1.27771181456553
0,0,419903,,,,,,A Changi Road,498,,7BDBBA93976A9409,2018-12-12 17:30:18,Yoga Connections,498 A Changi Road,103.914005195669,1.31923098288927
0,0,,,,,,,Raffles Place,14,Facilities: - Energy Studio - Mind Body Studio - Indoor Cycling Studio - Cardio Machines - Resistance Machines - Free Weights - Xpress Zone - Kick Fit Area - Steam & Sauna Operating Hours: Monday to Friday: 6:00 am - 12:00 midnight Saturday: 6:00 am to 10:00 pm Sunday,31D5AE9B685FA3B5,2018-12-12 17:30:18,California Fitness - Raffles,14 Raffles Place,103.850574044319,1.28348363887373
0,0,,Suntec City Mall,,,1,7,Temasek Boulevard,3,Operating Hours: Mon ? Thurs: 6am ? 11pm Fri: 6am ? 10pm Sat: 6am ? 9pm Sun / Public Holiday: 8am ? 8pm Tel: 6820 9000,707D40085D853452,2018-12-12 17:30:18,True Fitness - Suntec City,3 Temasek Boulevard,103.857675501543,1.29487905112126
0,0,418935,Kingston Terrace,,,1,1,Kingston Terrace,14D,Open Daily 9am - 10pm,67FD054BD7FDF7CB,2018-12-12 17:30:18,Union Yoga Ayurveda (Kembangan Branch),14D Kingston Terrace,103.912862460833,1.31988383852338
0,0,599625,Mandarin Park Shop Houses,,,,,51 Chun Tin Road,,Open Daily 9am - 10pm,0621E5B04CE748FD,2018-12-12 17:30:18,Union Yoga Ayurveda (Beauty World Branch),51 Chun Tin Road,103.772716769692,1.34174220136525
0,0,188091,Far East Shopping Centre,,,1,,Orchard Road,575,,193BAB36DB0C0EC5,2018-07-27 12:02:46,Rhythmic Yoga Works,575 Orchard Road,103.856934794867,1.29800183598617
0,0,397628,Kallang wave mall,,,,,1 Stadium place #02-07,,Open Daily 1000-2200 (close on public holiday),9A7626566D5D7F1D,2018-07-27 12:02:46,Neue,1 Stadium place #02-07,103.872750707738,1.30384327849927
0,0,278000,Chip Bee Gardens,,,,,Jalan Rumia,45,,019967C0B5FEC648,2016-01-27 09:58:40,Om Shiva Yoga - Chip Bee,45 Jalan Rumia,103.797538795862,1.31099316329402
0,0,287992,Horse City,,,02B,1,Turf Club Road,100,,CAA5268B7356F9BB,2016-01-27 09:58:40,Om Shiva Yoga - Horse City,100 Turf Club Road,103.795898242377,1.3342195983767
0,0,600134,,,,309,4,Jurong Gateway Road,134,Operating Hours: Monday & Friday: 10.00am - 6.00pm,47C03D160CFA8054,2016-01-27 09:58:40,OMG Yoga,134 Jurong Gateway Road,103.73870827223,1.33386246359672
0,0,307591,,,,10,4,Thomson Road,101,Operating Hours: Monday - Friday: 7.00 am - 10.00 pm Saturday: 7.00 am - 8.00 pm Sunday: 9.00 am - 6.00 pm Public holidays: 10.00 am - 7.00 pm,65E2947EF964CB81,2016-01-27 09:58:40,Philip Wain,101 Thomson Road,103.843463185078,1.31733464253519
0,0,238857,Asia Square Tower 1,,,,6,Marina View,8,"Facilities: Kettlebells, bulgarian bags, medicine balls, 4 x 35m indoor running track, mixed martial arts zone, VO2 testing area, group fitness studios, swimming pool, cardio equipment, resistance equipment, free weights Operating Hours: Monday - Saturday 6am - 12 midnight Sun",8CA6543133538778,2016-05-04 10:59:33,Pure Fitness - Knightsbridge (Asia Square),8 Marina View,103.836202014579,1.30310526758961
0,0,,,,,0,5,North Canal Road,39,,1B056E088123BADB,2016-05-04 10:59:33,Krav Maga Singapore,39 North Canal Road,103.84702569567,1.28712786568231
0,0,529508,,,,1,4,Tampines Central,1,"Facilities: Cardio equipment (steppers, bikes, treadmills, rowers etc), Technogym resistance machines, free-weights, Group Exercise studio, Mind and Body studio and cycling studio Operating Hours: Mon to Fri: 6.00am -10.00pm Sat : 7.00am - 7.00pm Sun & PH : 8.00am ? 6.00pm T",0E5BDF23B9B550FF,2016-05-04 10:59:33,Fitness First - Tampines,1 Tampines Central,103.943586936734,1.35308485692255
0,0,229572,,,,6,1,Claymore Hill,8,,CC585D492FF046BB,2016-05-04 10:59:33,iPilates,8 Claymore Hill,103.83203806691,1.30763492632515
0,0,238873,,,,,,Ngee Ann City,8,Facilities: - Energy Studio - Mind Body Studio - Indoor Cycling Studio - Cardio Machines - Resistance Machines - Free Weights - Xpress Zone - Kick Fit Area - Internet Kiosks Operating Hours: Monday to Saturday: 6:00 am - 12:00 midnight Sunday and Public Holidays*: 8:00 am to 10,80D12C5172266541,2016-05-04 10:59:33,California Fitness - Orchard- Ngee Ann City,8 Ngee Ann City,103.83467613466,1.30242417909429
0,0,,,,,26,B1,Cross Street,18,Operating Hours: Mon ? Thurs: 6am ? 11pm Fri: 6am ? 10pm Sat: 6am ? 9pm Sun / Public Holiday: 8am ? 8pm Tel: 6438 3833,E95592F9A510E94C,2016-05-04 10:59:33,True Fitness - China Square Central,18 Cross Street,103.846878913529,1.28351522358922
0,0,238881,,,,3,5,Orchard Road,541,,5DDCD3528F520732,2016-05-04 10:59:33,Sky Pilates,541 Orchard Road,103.830722583997,1.30508723301058
0,0,415979,Eunos Techpark,,,6,1,Kaki Bukit Place,60,Operating Hours: Monday - Friday: 8.00am - 2.00pm 3.00pm - 9.00pm Saturday: 9.00am - 4.00pm Sunday & PH: Closed,740A9C40632BFA6A,2016-05-04 10:59:33,Slender Shapes - Eunos,60 Kaki Bukit Place,103.904054104624,1.33407188854164
0,0,238884,,,,4,5,Orchard Road,583,Operating Hours: Mon ? Thu: 9 am to 9 pm Fri: 9 am to 7 pm Sat: 9 am to 5 pm Sundays and Public Holidays: by appointments only,1CBCEAA8DCE05C7D,2016-01-27 09:58:40,Core Fitness Physiotherapy & Pilates Centre - Forum The Shopping Mall,583 Orchard Road,103.828509016301,1.30619579913532
0,0,338988,,,,5,1,Kampong Bugis,11,,DBC99240555E4035,2016-01-27 09:58:40,CrossFit Fire City,11 Kampong Bugis,103.866029977781,1.30851817439858
0,0,408830,,,,13,2,Ubi Avenue 4,81,,032A31735DABE181,2016-01-27 09:58:40,CrossFit Singapore,81 Ubi Avenue 4,103.89176817408,1.33354943541229
0,0,160140,,,,1,13,Marine Parade Central,1,,D51E49EA5998835F,2016-01-27 09:58:40,Curves - Marine Parade,1 Marine Parade Central,103.829524333744,1.2781561439556
0,0,247918,,,,8,3,Tanglin Road,,,39F348823D05A7E7,2016-01-27 09:58:40,Elements Pilates,Tanglin Road,103.825078878265,1.30527220041532
0,0,,,,,1,1,China Street,26,Operating Hours: Monday-Friday: 6:30am to 10:30pm Saturday-Sunday: 9:00am to 7:00pm Tel: 65364525/ 65364830,2B065B4D81010FCA,2016-01-27 09:58:40,Evolve MMA - Far East Square,26 China Street,103.84782090171,1.28305772642104
0,0,,,,,38,2,Raffles Boulevard,9,"Facilities: Multi-purpose studio, cycling studio, free weights, resistance machines, cardio machines Operating Hours: Monday ? Friday : 6.00am ? 10.00pm Saturday : 9.00am ? 9.00pm Sunday and Public Holidays : 10.00am ? 8.00pm Tel: 6339 7555",F4DDE37F537AD715,2016-01-27 09:58:40,Fitness First - Millenia Walk,9 Raffles Boulevard,103.859343974188,1.29296504773614
0,0,,,,,1,5,,,"Facilities: Heated swimming pool, cardio equipment, strength equipment, free weights area, stretch area, Group Exercise studio Operating Hours: Monday ? Friday : 6.00am ? 11.00pm Saturday : 7.00am ? 7.00pm Sunday and Public Holidays : 10.00am ? 6.00pm Tel: 6538 7666",3BDFD9B0E01F133D,2016-01-27 09:58:40,Fitness First - One George Street,,103.847771918338,1.28554561731843
0,0,530205,,,,11,3,Hougang Street 21,205,Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM Saturday: 9:00 AM - 7:30 PM Sunday & Public Holiday: 9.00 AM - 7:30 PM,94714536BEEAB243,2017-09-21 14:48:15,Amore Fitness - Heartland Mall,205 Hougang Street 21,103.885079928732,1.35949663830553
0,0,238839,,,,9,4,Orchard Road,68,Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM Saturday: 9.00 AM - 10.00 PM Sunday & Public Holiday: 9.00 AM - 10.00 PM,79227FDEDF3DAB6E,2017-09-21 14:48:15,Amore Fitness - Plaza Singapura,68 Orchard Road,103.845047628503,1.30074756196423
0,0,574408,,,,49,3,Upper Thomson Road,301,Operating Hours: Monday: 9.00 AM - 10.00 PM Saturday: 9.00 AM - 9.00 PM Sunday & Public Holiday: 9.00 AM - 7.30 PM,1A6B6A0AB76D4A9A,2017-09-21 14:48:15,Amore Fitness - Thomson Plaza,301 Upper Thomson Road,103.830919788426,1.35466901882051
0,0,179103,,,,14,2,North Bridge Road,252,,8B7EB611C2BCC165,2017-09-21 14:48:15,Bikram Yoga,252 North Bridge Road,103.853119912535,1.2938935875293
0,0,,,,,13,3,,,,41CC26A587749B62,2017-09-21 14:48:15,Bikram Yoga Harbourfront,,103.818625588159,1.26206336450486
0,0,228149,,,,19,6,Sophia Road,,,C8249F9DE196CF6C,2017-09-21 14:48:15,Brazilian Jiu Jitzu Singapore,Sophia Road,103.84917626624,1.30107054671992
0,0,270036,Buona Vista Community Club,,,1,2,Holland Drive,36,,4631ECA28789B6FA,2016-05-04 10:59:33,Pilates Bodyworks - Holland,36 Holland Drive,103.79254748678,1.30918211194726
0,0,199777,,,,,,B Arab Street,80,Tel: 90098889/ 85715701,20BDFF1E9571FDF8,2017-11-21 14:56:50,Tirisula Yoga,80 B Arab Street,103.859188259636,1.3014790011719
0,0,,Hui Seng Building,,,1,3,Carpenter Street,38,,7F5BF3C2974A506F,2017-11-21 14:56:50,Total Yoga - Clarke Quay,38 Carpenter Street,103.84777293526,1.28790271682791
0,0,,,,,3,16,Marina Boulevard,12,"Facilities: Multi-purpose studio, cycling studio, free weights, resistance machines, cardio machines Operating Hours: Monday ? Friday : 6.00am ? 10.00pm Saturday : 8.00am ? 5.00pm Sunday and Public Holidays : Closed Tel: 6536 2373",8F637F6D9220E08D,2017-11-21 14:56:50,Fitness First - Marina Bay Financial Centre,12 Marina Boulevard,103.854297425627,1.27910567910157
0,0,573972,Midview City,,,138,8,Sin Ming Lane,28,,BAB87D4CFCC68591,2017-11-21 14:56:50,Midview Body & Mind,28 Sin Ming Lane,103.833930717119,1.35821656561939
0,0,,,,,,,Amoy Street Level 1,82,,7ACFBBEA403DC32D,2017-11-21 14:56:50,Pilates Inc - The Moving Body Group - Amoy Street,82 Amoy Street Level 1,103.846733698071,1.28078047914706
0,0,,,,,35B,,35B Boat Quay,,Operating Hours 8am to 9pm,150B4896253E1146,2017-11-21 14:56:50,The Jungle,35B Boat Quay,103.849673970079,1.28625502575823
0,0,307987,Revenue House,,,2,5,55 Newton Road,,Operating Hours 7am to 10pm,B61A5200655F788D,2017-09-21 14:48:15,TMP Fitness - Revenue House,55 Newton Road,103.841975314872,1.31948959451122
0,0,188021,,,,,3,Victoria Street Bugis Junction,200,Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM Saturday: 9.00 AM - 9.00 PM Sunday and Public Holiday: 9.00 AM - 9.00 PM,D641A1261476D87A,2016-01-27 09:58:40,Amore Fitness - Bugis Junction,200 Victoria Street Bugis Junction,103.855327954497,1.29906799078836
0,0,659081,,,,,,Bukit Batok West Ave 5,810,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6896 2197",00B7C4A8E6B769F1,2016-01-27 09:58:40,Bukit Gombak ClubFITT Gym,810 Bukit Batok West Ave 5,103.7530237503,1.35790704666032
0,0,689236,,,,,,Choa Chu Kang St 53,1,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6767 1739",657E21243B67D8C2,2016-01-27 09:58:40,Choa Chu Kang ClubFITT Gym,1 Choa Chu Kang St 53,103.747920712445,1.39066617204386
0,0,129907,,,,,,Clementi Ave 3,518,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 68729180/1",0ECC239A9E5BE231,2016-01-27 09:58:40,Clementi ClubFITT Gym,518 Clementi Ave 3,103.764861415667,1.31101498462879
0,0,538832,,,,,,Hougang Ave 4,93,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6315 8674",4799581394079A15,2016-01-27 09:58:40,Hougang ClubFITT Gym,93 Hougang Ave 4,103.88807173322,1.37057348785749
0,0,609517,,,,,,Jurong East St. 31,21,"Facilities: Standard Gymnasium Equipment and Exercise Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6896 3569",36E5745AABDF5045,2016-01-27 09:58:40,Jurong East ClubFITT Gym,21 Jurong East St. 31,103.728835249034,1.34621561227092
0,0,648965,,,,,,Jurong West St 93,20,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6515 5256",E4C452427E90B81F,2016-01-27 09:58:40,Jurong West ClubFITT Gym,20 Jurong West St 93,103.69376890219,1.33841806492775
0,0,519640,,,,,,Pasir Ris Central,120,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)",75B56EEB2293FAB1,2016-01-27 09:58:40,Pasir Ris ClubFITT Gym,120 Pasir Ris Central,103.95182250042,1.37444845586245
0,0,,,,,28,1,Havelock Road 2HR,2,"Operating Hours: Monday ? Friday : 7.00am ? 10.00pm Saturday, Sunday and Public Holidays : 8.00am ? 8.00pm Tel: 6536 5580",D9C883412EA536DC,2018-07-04 15:23:48,Physical ABuse,2 Havelock Road 2HR,103.844901339347,1.28672853496612
0,0,227977,,,,9,1,Winstedt Road,10,,AB171A85B419B656,2018-07-04 15:23:48,Central Pilates,10 Winstedt Road,103.841910545157,1.30992450385743
0,0,609930,,,,5,1,International Business Park,2,Operating Hours: Monday - Friday: 7.30am - 9.00pm Saturday: 7.30am - 3.00pm,5ADE95E16F4DE7AF,2018-07-04 15:23:48,Gold's Gym - IBP Jurong East,2 International Business Park,103.746960566285,1.3296904778472
0,0,,,,,,,Orchard Road,3,"Facilities: Cycling and group fitness studios, cardio machines, resistance machines, free weights Operating Hours: Monday - Saturday 6am - 12 midnight Sunday & Public holidays 8am - 10pm Tel: 6100 3813",788B7E5BA692EB6D,2018-07-04 15:23:48,Pure Fitness - Knightsbridge,3 Orchard Road,103.851103466005,1.27900797406852
0,0,449874,Big Splash,,,05A,2,East Coast Parkway,902 B,Operating Hours: Monday - Thursday: 8:30am - 9:30pm Friday: 8:30am - 8:00pm Saturday - Sunday: 7:30am - 5:30pm,3DBE70577DEED93A,2018-07-04 15:23:48,Updog Studio,902 B East Coast Parkway,103.899774980097,1.29747626957084
0,0,307506,,,,33,9,Sinaran Drive,10,,3FF83B00B3889020,2018-07-04 15:23:48,Breathe Pilates - Novena,10 Sinaran Drive,103.843892126913,1.32042967863542
0,0,158790,,,,,,Tiong Bahru Road,900,"Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6471 9030",33FF9E423E3E3908,2018-07-04 15:23:48,Delta ClubFITT Gym,900 Tiong Bahru Road,103.819773109932,1.28907794925009
0,0,,,,,,,3rd Floor 31B Kreta Ayer Road,,Operating hours Mon - Fri 0615 - 2200 Weekend 0800 - 2100,DD0CFDD91DBB75CF,2018-07-04 15:23:48,Yogapoint Singapore,3rd Floor 31B Kreta Ayer Road,103.842160502746,1.28065569131695
0,0,730900,,,,11,6,South Woodlands Drive,900,Operating Hours: Monday-Friday: 9.00 AM - 10.00 PM Saturday: 9.00 AM - 7.30 PM Sunday & Public Holiday: 9.00 AM - 6.00 PM,6E838EA7DB6D86F9,2016-01-27 09:58:40,Amore Fitness - Woodlands Civic Centre,900 South Woodlands Drive,103.78661961568,1.43507789397688
0,0,368150,,,,,,A MacPherson Road,439,,954EBECDBB1C33F2,2016-01-27 09:58:40,Ananda Marga Yoga Society of Singapore - MacPherson,439 A MacPherson Road,103.881024688613,1.33201025602617
0,0,119964,,,,03A,1,Alexandra Road,991,Operating Hours 7am to 9pm including Public Holiday,A9F429BA815FB2AE,2017-11-21 15:06:16,Jal Yoga,991 Alexandra Road,103.802911911187,1.27441958484294
0,0,188440,,,,,,New Bugis St,164A,Operating Hours: Monday - Friday: 7.00 am - 10.00 pm Saturday: 10.00 am - 7.00 pm Sunday: 10.00 am - 4.00 pm Tel: 6221 9663,F4CBBAAE83F1BB8F,2016-05-04 17:01:34,One Wellness Fitness Club,164A New Bugis St,103.855247873282,1.30091799345463
0,0,679910,Senja Cashew CC,,,2,2,Bukit Panjang Road,101,,D961379FBEED3A0A,2016-05-04 17:01:34,The Gym Nation,101 Bukit Panjang Road,103.764659583272,1.38158679370649
0,0,,,,,,,Yan Kit Road,11,,73F9ADF677C46246,2016-01-27 09:58:40,The Yoga Shala,11 Yan Kit Road,103.841918377905,1.27652575407135
0,0,229572,,,,4,,Claymore Hill,8,,CC585D49B7A6AB10,2016-01-27 09:58:40,Total Yoga - Orchard Road,8 Claymore Hill,103.83203806691,1.30763492632515
0,0,,,,,0,7,Raffles Place,30,Operating Hours: Mon ? Thurs: 6am ? 11pm Fri: 6am ? 10pm Sat: 6am ? 8pm Sun / Public Holiday: 8am ? 6pm Tel: 6438 3000,55F348B658CA9A22,2016-01-27 09:58:40,True Fitness - Chevron House,30 Raffles Place,103.851927274914,1.28423792027966
0,0,529652,NTUC Income Tampines Junction,,,1,8,Tampines Avenue 5,300,Operating Hours: Mon ? Thurs: 6am ? 11pm Fri: 6am ? 10pm Sat: 6am ? 9pm Sun / Public Holiday: 8am ? 8pm Tel: 6788 9555,41D9806063028807,2016-01-27 09:58:40,True Fitness - NTUC Income Tampines Junction,300 Tampines Avenue 5,103.93963580414,1.35429510351818
0,0,449269,,,,15,7,Marine Parade Road,80,Operating Hours: Mon ? Fri: 7am ? 10pm Sat / Sun / Public Holiday: 8am ? 9.30pm Tel: 6348 2900,8F1010F8ADCA9342,2016-01-27 09:58:40,True Fitness - Parkway Parade,80 Marine Parade Road,103.905113590458,1.30119131472187
0,0,,VivoCity,,,10,3,Harbourfront Walk,1,Operating Hours: Mon ? Fri: 7am ? 10.30pm Sat - Sun: 7am ? 9pm Public Holiday: 8am ? 8pm Tel: 6278 3000,EBADE26CDF33C220,2016-01-27 09:58:40,True Fitness - VivoCity,1 Harbourfront Walk,103.821808629396,1.26439468181096
0,0,,Ocean Financial Centre,,,,4,Collyer Quay,10,Operating Hours: 7am to 11pm daily,5279FD4AB71A1AD6,2016-01-27 09:58:40,True Yoga - Ocean Financial Centre,10 Collyer Quay,103.851838945741,1.28298072623658
0,0,228210,Pacific Plaza,,,,4,Scotts Road,9,Operating Hours: 7am to 11pm daily,0A374185578ECB2D,2016-01-27 09:58:40,True Yoga - Pacific Plaza,9 Scotts Road,103.832126408154,1.30653722380828
0,0,189688,Bulkhaul House,,,2,2,Beach Rd,67,,E49D75A98E1B1ED4,2016-01-27 09:58:40,Viva Fit Singapore - Beach Road,67 Beach Rd,103.856304899664,1.29695905771991
