Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SEMBAWANG SPRINGS ESTATE,"4,500,000","4,005.28","1,124",Sep-25,JALAN KEMUNING,Resale,Land,372.1,"12,094",-,Semi-Detached House,1,999 yrs lease commencing from 1885,27,Outside Central Region,-
FANTA GARDEN,"7,200,000","6,980.45","1,031",Sep-25,BEGONIA DRIVE,Resale,Land,648.5,"11,103",-,Terrace House,1,Freehold,28,Outside Central Region,-
MANDARIN PARK,"4,652,888","2,061.31","2,257",Sep-25,YUK TONG AVENUE,Resale,Land,191.5,"24,297",-,Terrace House,1,Freehold,21,Rest of Central Region,-
FUYONG ESTATE,"1,680,000","5,119.36",328,Sep-25,JALAN UJI,Resale,Land,475.6,"3,532",-,Detached House,1,99 yrs lease commencing from 1947,23,Outside Central Region,-
TUAN SING PARK,"5,400,000","3,708.2","1,456",Sep-25,DEDAP ROAD,Resale,Land,344.5,"15,675",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
THE SPRINGSIDE,"4,280,000","1,711.48","2,501",Sep-25,SPRINGSIDE VIEW,Resale,Land,159,"26,918",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,330,000","9,923.33",336,Sep-25,BUKIT AYER MOLEK,Resale,Land,921.9,"3,612",-,Detached House,1,99 yrs lease commencing from 1957,21,Rest of Central Region,-
SEMBAWANG STRAITS ESTATE,"3,120,000","2,239.99","1,393",Sep-25,JALAN GELAM,Resale,Land,208.1,"14,993",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
VILLA VERDE,"2,530,000","1,614.6","1,567",Sep-25,VERDE CRESCENT,Resale,Land,150,"16,867",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,200,000","4,651.12","1,333",Sep-25,JALAN BATU NILAM,Resale,Land,432.1,"14,349",-,Terrace House,1,Freehold,23,Outside Central Region,-
SEMBAWANG SPRINGS ESTATE,"5,200,000","3,358.37","1,548",Sep-25,JALAN HIKAYAT,Resale,Land,312,"16,667",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
LUXUS HILLS,"4,800,000","2,179.71","2,202",Sep-25,SELETAR GREEN WALK,Resale,Land,202.5,"23,704",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
CENTURY WOODS,"3,000,000","2,239.99","1,339",Sep-25,WOODGROVE VIEW,Resale,Land,208.1,"14,416",-,Terrace House,1,99 yrs lease commencing from 1996,25,Outside Central Region,-
WESTWOOD PARK,"3,100,000","3,156",982,Sep-25,WESTWOOD CRESCENT,Resale,Land,293.2,"10,573",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
